,location,start,stop
0,BR,20,26
1,TL,71,80
2,TL,87,93
3,TL,96,98
4,TL,144,159
5,BR,235,243
6,BR,295,299
7,TL,871,923
8,BR,999,1005
9,BR,1007,1008
10,BR,1022,1027
11,TL,1220,1232
12,TL,1251,1260
13,BR,1417,1418
14,BR,1477,1483
15,BR,1489,1509
16,BR,1510,1512
17,BR,1566,1655
18,BR,1656,1663
19,BR,1665,1747
20,TL,2086,2095
21,TL,2151,2179
22,BR,2233,2234
23,BR,2702,2709
24,BR,2861,2880
25,BR,2883,2905
26,BR,2924,2960
27,BR,2977,2985
28,BR,2988,2989
29,TL,3072,3081
30,TL,3147,3154
31,TL,3161,3167
32,TL,3173,3174
33,TL,3193,3247
34,TL,3251,3345
35,BR,3427,3441
36,BR,3491,3506
37,BR,3541,3562
38,BR,3746,3763
39,TL,3842,3845
40,TL,3907,3908
41,TL,3909,3973
42,BR,4042,4044
43,BR,4548,4553
44,BR,4591,4600
45,BR,4611,4620
46,BR,4692,4738
47,TL,5072,5079
48,TL,5090,5101
49,TL,5123,5124
50,TL,5125,5130
51,TL,5132,5134
52,TL,5142,5162
53,TL,5185,5216
54,TL,5250,5256
55,TL,5257,5267
56,TL,5320,5340
57,BR,5891,5898
58,BR,5939,5940
59,BR,6100,6101
60,BR,6125,6126
61,BR,6127,6129
62,TL,6803,6833
63,TL,6842,6843
64,TL,6885,6896
65,BR,7196,7203
66,BR,7229,7328
67,BR,7390,7391
68,BR,7412,7413
69,BR,7414,7417
70,BR,7619,7620
71,BR,7624,7625
72,TL,7903,7912
73,TL,7913,7915
74,TL,7924,7945
75,TL,7964,7976
76,TL,7982,7985
77,TL,8045,8065
78,TL,8066,8169
79,TL,8190,8204
80,TL,8209,8244
