,location,start,stop
0,BR,8,55
1,BR,87,98
2,BR,110,131
3,BR,134,147
4,BR,150,160
5,BR,161,162
6,TL,435,443
7,TL,481,546
8,BR,689,697
9,BR,739,746
10,BR,747,749
11,BR,750,752
12,BR,754,757
13,BR,763,764
14,BR,768,769
15,BR,777,779
16,BR,781,784
17,BR,786,796
18,BR,798,799
19,BR,841,893
20,BR,898,1029
21,BR,1101,1148
22,BR,1151,1154
23,BR,1184,1187
24,BR,1190,1262
25,BR,1296,1299
26,BR,1301,1304
27,TL,1752,1916
28,TL,1978,1988
29,TL,2002,2009
30,TL,2014,2054
31,BR,2327,2339
32,BR,2477,2533
33,TL,2844,2873
34,TL,2907,2915
35,TL,2942,2943
36,TL,2946,2955
37,BR,3042,3120
38,BR,3141,3143
39,BR,3144,3154
40,BR,3170,3174
41,BR,3180,3188
42,TL,3479,3521
43,BR,3748,3765
44,BR,3849,3850
45,BR,3952,4006
46,TL,4248,4263
47,BR,4622,4641
48,BR,4806,4813
49,BR,4834,4839
50,BR,4845,4847
51,BR,4848,4856
52,BR,4859,4875
53,TL,5030,5038
54,TL,5201,5208
55,TL,5217,5220
56,BR,5308,5310
57,BR,5338,5340
58,BR,5407,5461
59,TL,5602,5603
60,TL,5604,5635
61,TL,5636,5669
62,TL,5752,5759
63,TL,5855,5862
64,BR,6011,6016
65,BR,6033,6035
66,BR,6051,6062
67,TL,6129,6146
68,TL,6196,6197
69,TL,6257,6258
70,TL,6263,6264
71,TL,6274,6297
72,TL,6335,6361
73,BR,6371,6382
74,BR,6420,6426
75,BR,6436,6440
76,BR,6733,6737
77,BR,6782,6790
78,BR,6817,6821
79,TL,6871,6877
80,TL,6900,6904
81,TL,6908,6916
82,BR,6983,6999
83,BR,7053,7064
84,BR,7066,7069
85,BR,7149,7156
86,BR,7163,7168
87,BR,7173,7175
88,BR,7179,7183
89,BR,7187,7193
90,TL,7520,7532
91,TL,7555,7562
92,TL,7597,7604
93,TL,7755,7788
94,BR,8029,8037
95,BR,8075,8076
96,BR,8080,8084
97,BR,8278,8295
98,BR,8501,8509
99,BR,8521,8522
100,BR,8582,8585
101,BR,8586,8588
102,BR,8590,8612
103,BR,8837,8862
104,BR,8892,8894
105,BR,8935,8938
106,BR,8945,8948
