,location,start,stop
0,BR,82,94
1,BR,95,102
2,TL,158,184
3,TL,206,214
4,BR,223,230
5,BR,248,251
6,BR,268,269
7,BR,285,291
8,BR,327,357
9,BR,403,408
10,TL,531,538
11,TL,575,576
12,TL,581,583
13,TL,584,590
14,TL,625,636
15,BR,722,727
16,BR,739,741
17,BR,754,758
18,BR,802,808
19,BR,809,818
20,TL,972,995
21,TL,1003,1035
22,TL,1066,1082
23,BR,1207,1215
24,BR,1358,1362
25,BR,1369,1371
26,TL,1572,1589
27,TL,1597,1621
28,TL,1636,1642
29,TL,1643,1647
30,TL,1650,1651
31,TL,1732,1748
32,TL,1762,1792
33,TL,1798,1806
34,TL,1818,1824
35,TL,1827,1828
36,TL,1830,1833
37,TL,1853,1859
38,TL,1860,1862
39,BR,1931,1934
40,BR,1990,2004
41,BR,2081,2087
42,BR,2121,2124
43,BR,2132,2153
44,BR,2160,2174
45,BR,2185,2191
46,TL,2274,2279
47,TL,2350,2363
48,TL,2433,2446
49,TL,2451,2475
50,BR,2524,2567
51,BR,2598,2604
52,BR,2606,2621
53,BR,2655,2656
54,BR,2665,2666
55,BR,2667,2668
56,TL,2856,2863
57,TL,2885,2892
58,TL,2897,2899
59,TL,2908,2926
60,TL,2927,2931
61,BR,2998,3010
62,BR,3018,3021
63,BR,3030,3032
64,BR,3105,3110
65,BR,3117,3127
66,BR,3129,3135
67,BR,3164,3167
68,TL,3290,3310
69,BR,3482,3530
70,BR,3546,3549
71,BR,3580,3584
72,BR,3585,3588
73,BR,3590,3593
74,BR,3596,3597
75,BR,3605,3617
76,TL,3733,3753
77,TL,3764,3792
78,TL,3801,3809
79,BR,3854,3859
80,BR,3869,3871
81,BR,3872,3873
82,BR,4001,4015
83,TL,4149,4174
84,TL,4182,4188
85,TL,4193,4197
86,TL,4227,4246
87,TL,4249,4266
88,TL,4278,4285
89,TL,4333,4349
90,TL,4350,4362
91,TL,4363,4364
92,BR,4446,4457
93,BR,4469,4470
94,TL,4638,4661
95,BR,4861,4869
96,BR,4876,4879
97,BR,4883,4890
98,BR,4892,4915
99,BR,4916,4920
100,BR,4957,4970
101,BR,4985,4987
102,BR,4988,5008
103,BR,5029,5048
104,BR,5049,5050
105,BR,5056,5070
106,BR,5086,5116
107,BR,5125,5126
108,BR,5272,5276
109,BR,5416,5434
110,BR,5438,5440
111,BR,5445,5460
112,TL,5574,5603
113,TL,5612,5634
114,TL,6048,6088
115,TL,6116,6123
116,BR,6269,6284
117,BR,6324,6325
118,TL,6605,6617
119,TL,6649,6650
120,TL,6654,6666
121,TL,6688,6690
122,TL,6693,6697
123,TL,6702,6715
124,TL,6726,6737
125,TL,6744,6748
126,TL,6767,6771
127,TL,6772,6774
128,TL,6775,6776
129,TL,6777,6781
130,BR,6838,6845
131,BR,6860,6863
132,BR,6989,7016
133,BR,7019,7023
134,BR,7205,7213
135,BR,7223,7226
136,BR,7326,7328
137,TL,7706,7722
138,TL,7742,7782
139,TL,8275,8284
140,TL,8378,8382
141,BR,8437,8445
142,BR,8455,8461
143,BR,8487,8495
144,BR,8496,8501
145,BR,8505,8507
146,BR,8557,8569
147,BR,8591,8599
148,BR,8601,8602
149,BR,8674,8676
150,BR,8677,8689
151,TL,8927,8932
