,location,start,stop
0,TL,29,32
1,BR,71,75
2,BR,141,147
3,BR,185,189
4,TL,269,282
5,TL,285,293
6,TL,307,312
7,BR,402,406
8,BR,506,537
9,TL,602,627
10,TL,676,690
11,TL,704,710
12,TL,760,770
13,BR,807,862
14,BR,877,885
15,BR,958,972
16,BR,973,984
17,BR,985,987
18,BR,991,1002
19,TL,1098,1114
20,BR,1138,1140
21,BR,1239,1247
22,BR,1311,1322
23,TL,1483,1526
24,TL,1527,1537
25,TL,1561,1567
26,TL,1589,1594
27,BR,2115,2122
28,TL,2161,2176
29,TL,2202,2204
30,BR,2591,2624
31,BR,2626,2653
32,TL,2742,2766
33,TL,2782,2793
34,TL,2796,2798
35,TL,2810,2811
36,TL,2812,2814
37,TL,2820,2822
38,TL,2840,2843
39,TL,2859,2862
40,TL,2883,2932
41,BR,3052,3060
42,BR,3080,3095
43,BR,3102,3123
44,TL,3893,3901
45,BR,4212,4221
46,BR,4257,4267
47,BR,4527,4531
48,BR,4546,4550
49,BR,4591,4632
50,BR,4908,4914
51,TL,4958,4973
52,TL,5048,5055
53,TL,5071,5089
54,TL,5111,5126
55,TL,5135,5145
56,BR,5178,5188
57,BR,5197,5228
58,BR,5235,5236
59,TL,5379,5386
60,TL,5396,5399
61,TL,5438,5458
62,TL,5471,5482
63,TL,5483,5488
64,TL,5490,5492
65,TL,5493,5514
66,TL,5597,5607
67,TL,5636,5669
68,BR,5686,5694
69,BR,5794,5820
70,BR,5822,5833
71,BR,5835,5836
72,BR,5837,5849
73,BR,5850,5854
74,BR,5858,5859
75,BR,5880,5883
76,BR,5890,5901
77,BR,5936,5941
78,BR,5953,5954
79,BR,5955,5957
80,BR,5958,5966
81,BR,5976,5979
82,BR,5983,5989
83,BR,6036,6037
84,TL,6232,6242
85,TL,6245,6248
86,TL,6273,6288
87,TL,6335,6342
88,TL,6382,6419
89,TL,6420,6424
90,BR,6729,6735
91,BR,6790,6792
92,BR,6806,6912
93,BR,6914,6922
94,BR,6933,6940
95,BR,6943,6950
96,BR,6952,6960
97,BR,6998,7009
98,TL,7109,7130
99,TL,7136,7138
100,TL,7154,7174
101,TL,7484,7534
102,TL,7669,7678
103,TL,7681,7700
104,TL,7712,7716
105,BR,7824,7841
106,BR,7866,7878
107,BR,7898,7899
108,BR,7904,7922
109,BR,8029,8030
110,TL,8699,8707
111,TL,8758,8763
112,TL,8765,8782
113,TL,8873,8908
