,location,start,stop
0,TL,4,9
1,BR,43,51
2,BR,55,57
3,BR,88,99
4,TL,165,175
5,TL,224,226
6,TL,232,254
7,BR,272,284
8,BR,300,301
9,BR,309,310
10,BR,311,325
11,TL,451,458
12,TL,471,477
13,BR,614,622
14,BR,673,674
15,BR,678,685
16,TL,853,880
17,TL,896,897
18,TL,898,903
19,BR,940,947
20,BR,966,969
21,BR,975,980
22,TL,1267,1278
23,TL,1282,1286
24,TL,1288,1324
25,BR,1397,1481
26,BR,1483,1490
27,BR,1496,1509
28,BR,1510,1531
29,BR,1565,1598
30,TL,1621,1626
31,TL,1630,1632
32,BR,1817,1824
33,BR,1843,1844
34,BR,1877,1880
35,BR,1883,1886
36,TL,1918,1927
37,BR,2161,2168
38,BR,2189,2190
39,BR,2209,2214
40,TL,2307,2314
41,TL,2335,2342
42,TL,2348,2350
43,TL,2448,2471
44,BR,2564,2595
45,BR,2635,2641
46,BR,2669,2674
47,BR,2938,2952
48,BR,3113,3116
49,BR,3135,3148
50,BR,3149,3150
51,BR,3152,3175
52,BR,3177,3186
53,BR,3192,3200
54,BR,3201,3205
55,BR,3224,3248
56,BR,3568,3576
57,BR,3611,3630
58,BR,3686,3700
59,TL,4054,4089
60,BR,4427,4435
61,TL,4673,4682
62,TL,4754,4756
63,TL,4823,4832
64,TL,4845,4851
65,TL,4852,4856
66,TL,4859,4861
67,TL,4867,4874
68,TL,4875,4886
69,TL,4888,4908
70,TL,4912,5012
71,TL,5029,5040
72,BR,5163,5184
73,BR,5215,5219
74,BR,5376,5383
75,BR,5384,5385
76,BR,5387,5414
77,BR,5417,5419
78,BR,5428,5433
79,TL,5663,5699
80,BR,5725,5752
81,BR,5778,5779
82,BR,5782,5783
83,BR,5798,5813
84,BR,6089,6090
85,BR,6093,6130
86,BR,6148,6164
87,BR,6169,6175
88,BR,6188,6231
89,BR,6296,6297
90,BR,6303,6308
91,TL,6419,6430
92,BR,6477,6531
93,BR,6546,6570
94,BR,6651,6656
95,BR,6813,6825
96,TL,7044,7052
97,TL,7083,7099
98,TL,7122,7133
99,TL,7136,7142
100,TL,7143,7152
101,TL,7156,7162
102,TL,7163,7179
103,TL,7188,7236
104,BR,7576,7608
105,BR,7696,7698
106,BR,7713,7724
107,BR,7757,7759
108,BR,7772,7773
109,BR,7774,7794
110,BR,7812,7831
111,TL,8250,8281
112,TL,8299,8321
113,TL,8342,8350
114,TL,8359,8362
115,BR,8498,8501
116,BR,8531,8533
117,BR,8582,8586
118,BR,8670,8677
119,BR,8679,8685
120,BR,8708,8757
121,BR,8766,8804
122,BR,8813,8825
