,location,start,stop
0,BR,33,42
1,BR,55,57
2,BR,66,97
3,BR,102,107
4,BR,183,206
5,TL,600,637
6,BR,729,770
7,BR,905,924
8,TL,960,986
9,TL,1036,1065
10,TL,1074,1078
11,TL,1119,1150
12,BR,1780,1789
13,BR,1792,1793
14,BR,1874,1875
15,BR,1882,1884
16,TL,2242,2252
17,BR,2288,2312
18,BR,2400,2408
19,BR,2410,2411
20,BR,2470,2471
21,BR,2495,2501
22,TL,2786,2802
23,TL,2812,2840
24,TL,2848,2852
25,TL,2853,2854
26,TL,2855,2858
27,TL,2864,2875
28,TL,2879,2884
29,TL,2957,2959
30,TL,2961,2980
31,BR,3131,3147
32,BR,3314,3316
33,BR,3317,3324
34,BR,3406,3429
35,TL,3564,3576
36,TL,3590,3603
37,TL,3676,3686
38,TL,3911,3913
39,TL,4080,4109
40,TL,4220,4283
41,TL,4291,4324
42,BR,4339,4342
43,BR,4378,4392
44,BR,4394,4399
45,BR,4468,4469
46,BR,4510,4515
47,BR,4523,4525
48,BR,4807,4823
49,BR,4831,4840
50,BR,4885,4893
51,BR,4952,4982
52,BR,4983,4993
53,BR,5001,5014
54,TL,5050,5124
55,TL,5129,5144
56,TL,5159,5221
57,TL,5364,5405
58,BR,5502,5545
59,BR,5639,5670
60,BR,5671,5676
61,BR,5677,5738
62,BR,5798,5809
63,BR,6010,6024
64,TL,6119,6133
65,TL,6139,6159
66,TL,6203,6204
67,TL,6232,6236
68,TL,6243,6289
69,BR,6755,6760
70,BR,6790,6792
71,BR,6906,6945
72,BR,6993,7018
73,BR,7038,7046
74,BR,7102,7136
75,TL,7334,7359
76,TL,7368,7426
77,TL,7434,7491
78,TL,7780,7801
79,TL,7838,7841
80,TL,7864,7878
81,BR,7961,7975
82,BR,7977,7978
83,BR,7991,7998
84,BR,8009,8048
85,TL,8300,8309
86,TL,8311,8315
87,BR,8503,8509
88,TL,8566,8571
89,TL,8604,8616
90,TL,8617,8618
91,BR,8825,8828
